序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
229,杭电转债!,113505,2018/3/27,杭电股份,603618,能源电力,电力设备,103.31,0.27%,-0.16%,5.81,0.35%,4.2,0.50%,112.3,7.14,1.67,81.37,27.00%,转股中,3.63年,1.63年,18.70%,15.20%,7.5,40,2.37%,1.73%,-0.28%,-0.58%,95.04,96.01,7.36,103.37,-0.10%,43%,17%,16%,0.31,AA,4.50%,130.31 ,125.2,29.2,0.10%,38,杭电转债!
159,司尔转债!,128064,2019/5/7,司尔特,002538,化工,农化,103.2,0.00%,0.00%,5.26,0.00%,5,0.60%,114.9,6.07,1.01,86.66,19.10%,转股中,4.72年,2.72年,21.20%,18.40%,8,38,2.35%,1.76%,0.07%,-0.16%,91.17,93.72,12.95,106.67,-3.30%,34%,13%,16%,0.43,AA,4.50%,122.30 ,119.7,26,3.50%,55,司尔转债!
132,哈尔转债!,128073,2019/9/11,哈尔斯,002615,其他,家居用品,105.498,0.47%,0.57%,5.19,2.17%,32,10.00%,115.7,5.72,2.62,90.73,16.30%,转股中,4年34天,2年34天,14.10%,12.80%,3,21,2.32%,1.62%,-1.30%,-1.51%,90.87,93.26,15.67,108.93,-3.20%,39%,15%,17%,0.48,AA-,5.50%,121.80 ,120.3,27,5.60%,37,哈尔转债!
15,飞鹿转债,123052,2020/7/3,飞鹿股份,300665,化工,化工,112.1,0.09%,-0.50%,10.38,-0.57%,6.5,3.30%,127.3,9.9,2.84,104.85,6.90%,4月25天,5.88年,3.88年,14.00%,14.70%,1.8,13,2.24%,1.45%,-1.57%,-1.81%,78.88,84.16,39.18,123.34,-9.10%,53%,5%,18%,0.72,A+,7.48%,119.00 ,119.4,35.2,0.70%,6,飞鹿转债
125,金轮转债!,128076,2019/11/8,金轮股份,002722,机械装备,专用设备,103,0.28%,-0.95%,12.52,-1.34%,2.3,1.00%,115.3,14.76,1.18,84.82,21.40%,转股中,5.24年,3.24年,9.70%,8.30%,2.1,22,2.22%,1.68%,0.23%,0.01%,85.92,86.44,17.97,104.41,-1.30%,39%,15%,17%,0.5,AA-,5.78%,124.40 ,121.2,34.7,1.00%,42,金轮转债!
237,吉视转债!,113017,2018/1/15,吉视传媒,601929,传媒娱乐,影视娱乐,101.98,-0.06%,-0.38%,2.19,-2.23%,19,1.20%,109.8,2.95,1.03,74.24,37.40%,转股中,3.44年,1.44年,22.90%,17.00%,16,68,2.21%,1.66%,0.35%,0.04%,96.33,96.19,3.88,100.07,1.90%,33%,21%,16%,0.2,AA+,4.00%,139.38 ,129.7,33.4,-3.10%,50,吉视转债!
245,众兴转债!,128026,2018/1/3,众兴菌业,002772,农业,种植业,102.606,0.10%,0.37%,9.55,1.38%,16,1.70%,110.3,11.45,1.43,83.41,23.00%,转股中,3.40年,1.40年,26.20%,21.80%,9.2,35,2.19%,1.61%,0.12%,-0.23%,94.58,92.29,9.8,102.1,0.50%,38%,19%,16%,0.35,AA-,5.50%,125.61 ,121.8,27.2,6.60%,60,众兴转债!
211,凯中转债!,128042,2018/9/3,凯中精密,002823,能源电力,电力设备,108.011,-1.09%,1.09%,11.68,0.00%,2.5,0.60%,116.9,12.94,2.62,90.26,19.70%,转股中,4年11天,2年11天,12.30%,11.10%,4.2,34,2.03%,1.26%,-1.99%,-2.28%,93.98,98.28,12.61,110.89,-2.60%,40%,16%,17%,0.42,AA,4.50%,127.71 ,125.8,27.5,2.10%,25,凯中转债!
172,苏银转债!,110053,2019/4/3,江苏银行,600919,金融,银行行业,108.8,-0.45%,0.01%,6.11,-1.29%,438,2.00%,119.1,7.28,0.61,83.93,29.60%,转股中,4.65年,无权,28.40%,23.80%,200,705,2.02%,1.28%,无权,无权,无权,101.96,9.95,111.91,-2.80%,20%,15%,18%,0.34,AAA,3.50%,138.40 ,133.7,31.7,-0.40%,50,苏银转债!
209,苏农转债!,113516,2018/8/20,苏农银行,603323,金融,银行行业,106.47,-1.25%,1.09%,4.8,-0.41%,6,0.40%,115.1,5.52,0.74,86.96,22.40%,转股中,4年14天,无权,14.90%,13.00%,13,87,2.00%,1.30%,无权,无权,无权,98.62,11.07,109.69,-2.90%,34%,17%,18%,0.38,AA+,4.00%,128.87 ,126,27.4,1.70%,37,苏农转债!
