序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
140,迪贝转债!,113546,2019/11/21,迪贝电气,603320,家电,零部件制,113.14,-0.40%,1.63%,13.8,1.85%,18,6.80%,121.1,14.1,2.09,97.87,15.60%,转股中,5.19年,3.19年,12.80%,12.50%,2.3,18,1.35%,0.64%,-2.39%,-2.64%,82.27,84.05,34.61%,0.67,A+,7.49%,128.74 ,128.4,44.4,2.70%,43,迪贝转债!
173,核能转债!,113026,2019/5/8,中国核电,601985,能源电力,核电,103.33,-0.81%,0.59%,4.54,-0.87%,16,0.20%,109.8,6.08,1.41,74.67,38.40%,转股中,4.66年,2.66年,11.00%,8.20%,78,707,1.34%,0.93%,-0.01%,-0.24%,93.49,93.32,10.73%,0.25,AAA,3.62%,141.73 ,132,38.5,2.90%,51,核能转债!
143,金轮转债!,128076,2019/11/8,金轮股份,002722,机械装备,专用设备,108.271,0.38%,0.20%,12.89,1.10%,5.9,2.60%,115.3,14.76,1.22,87.33,24.00%,转股中,5年59天,3年59天,9.50%,8.30%,2.1,23,1.25%,0.71%,-1.27%,-1.49%,86.26,86.77,24.78%,0.53,AA-,5.79%,132.27 ,129.2,42.4,0.40%,42,金轮转债!
58,鲁泰转债,127016,2020/5/13,鲁 泰Ａ,000726,服装纺织,纺织行业,108.504,0.47%,-0.59%,8.05,-0.25%,5.5,0.40%,116.2,8.91,0.88,90.35,20.10%,2月0天,5.65年,3.65年,20.30%,18.30%,14,69,1.24%,0.73%,-1.19%,-1.37%,88.48,92.06,17.86%,0.5,AA+,4.29%,128.60 ,126.7,34.6,1.60%,19,鲁泰转债
247,杭电转债!,113505,2018/3/27,杭电股份,603618,能源电力,电力设备,107.8,1.20%,0.11%,6.33,3.09%,11,1.40%,112.3,7.14,1.82,88.66,21.60%,转股中,3.55年,1.55年,17.10%,15.20%,7.5,44,1.18%,0.54%,-2.74%,-3.05%,95.17,95.95,12.35%,0.42,AA,4.62%,129.40 ,126.9,31,4.60%,39,杭电转债!
229,凯中转债!,128042,2018/9/3,凯中精密,002823,能源电力,电力设备,111.189,1.08%,-1.04%,12.16,0.08%,3.4,0.70%,116.3,12.94,2.73,93.97,18.30%,转股中,3.95年,1.95年,11.80%,11.10%,4.2,35,1.16%,0.42%,-3.65%,-3.90%,93.47,97.58,13.95%,0.47,AA,4.62%,129.49 ,128.4,30.8,1.40%,24,凯中转债!
69,雷迪转债,123045,2020/4/13,雷迪克,300652,汽车,零部件制,112.22,0.87%,0.64%,20.96,2.00%,5.2,1.60%,119.4,20.13,2.35,104.12,7.80%,33天,5.57年,3.57年,15.70%,16.30%,2.9,18,1.14%,0.53%,-1.89%,-2.12%,80.1,80.63,39.18%,0.76,A+,7.49%,120.02 ,120.3,39.7,0.60%,37,雷迪转债
128,海亮转债,128081,2019/12/16,海亮股份,002203,有色金属,铜金属,108.777,0.26%,0.42%,8.97,1.24%,4.7,0.10%,115.2,9.76,1.99,91.91,18.40%,转股中,5.27年,3.27年,18.00%,16.50%,32,175,1.12%,0.59%,-1.40%,-1.60%,88.47,90.49,20.21%,0.54,AA,4.79%,127.18 ,125.6,35.2,0.60%,52,海亮转债
81,君禾转债,113567,2020/4/3,君禾股份,603617,机械装备,通用设备,112.7,0.16%,0.28%,11.4,0.62%,7.5,3.20%,119.3,11.46,2.66,99.48,13.30%,25天,5.55年,3.55年,9.20%,9.20%,2.1,23,1.05%,0.44%,-2.05%,-2.27%,80.16,80.69,39.67%,0.71,A+,7.49%,126.00 ,125.9,45.2,-5.00%,29,君禾转债
213,山鹰转债,110047,2018/12/10,山鹰纸业,600567,造纸包装,包装用纸,113.3,-0.01%,0.30%,3.17,0.63%,4.5,0.20%,118.1,3.34,1.06,94.91,19.40%,转股中,4.27年,2.27年,15.80%,15.00%,23,146,1.00%,0.25%,-3.71%,-3.97%,93.86,99.78,13.55%,0.46,AA+,4.12%,132.70 ,131.7,31.9,-0.80%,36,山鹰转债
